numero_manuscrito,tipo_articulo,titulo,autor,fecha_inicial,fecha_estado,estado_actual,editor,estado_evaluacion,decision_editor,data_identity
NEFRO-D-22-00441,Casos Clinicos,A RARE CASE: TWİN PREGNANCY in a CHRONİC HEMODİALYSİS PATİENT,"Yavuz Ayar, M.D.",13/12/2022,28/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16043
NEFRO-D-22-00440,Original,Hepatic steatosis index may be a complementary index for estimating end-stage kidney disease in patients with antineutrophil cytoplasmic antibody-associated vasculitis,"Sang-Won Lee, Ph.D., M.D.",13/12/2022,28/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16042
NEFRO-D-22-00439,Cartas al editor,USO DEL CATÉTER PERITONEAL PARA EL MANEJO DE LA ASCITIS EN PACIENTES SOMETIDOS A HEMODIÁLISIS: A PROPÓSITO DE UN CASO,Miguel Ángel González Martínez,12/12/2022,28/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16041
NEFRO-D-22-00438R1,Cartas al editor,HEMODIAFILTRACIÓN ON LINE SIN REPOSICIÓN DE CALCIO UTILIZANDO CITRATO COMO ANTICOAGULANTE Y LÍQUIDO DE DIÁLISIS CON 3.5 MEQ DE CALCIO POST DILUCIONAL EN PACIENTES CON TROMBOCITOPENIA INDUCIDA POR HEPARINA: REPORTE DE 2 CASOS,Lucas Ramos,12/12/2022,10/01/2023,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15992
NEFRO-D-22-00437,Cartas al editor,IMPACTO DE LA PANDEMIA DEL COVID-19 EN EL PACIENTE CON ENFERMEDAD RENAL CRÓNICA EN PERÚ,"Shelvy Alessandra Quispe Marca, Estudiante",10/12/2022,28/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16040
NEFRO-D-22-00436,Cartas al editor,Wunderlich syndrome in a patient on hemodialysis,Maria Inês Roxo,09/12/2022,28/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16034
NEFRO-D-22-00435,Original,Role of colquhounia root tablet on the therapy of idiopathic membranous nephropathy with sub-nephrotic proteinuria,Chunyan Xu,07/12/2022,28/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16028
NEFRO-D-22-00432,Cartas al editor,Comentario al Estudio de intervención para comprobar el efecto de la música clásica en directo durante hemodiálisis sobre la calidad de vida de pacientes con enfermedad renal crónica&#8221;,"JOSE JOEL MEGO HUAMAN, ESTUDIANTE",06/12/2022,30/12/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,16019
NEFRO-D-22-00433,Original,USO DE IBUPROFENO EN EL TRATAMIENTO DE PACIENTES PEDIATRICOS CON POLIURIA Y DISNATREMIA -  - USE OF IBUPROFEN IN THE TREATMENT OF PATIENTS WITH POLYURIA AND DYSNATREMIA,miguel liern,06/12/2022,30/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16030
NEFRO-D-22-00431,Cartas al editor,PIELONEFRITIS AGUDA EN PACIENTE TRASPLANTADO RENAL SECUNDARIA A INFECCIÓN POR DELFTIA ACIDOVORANS: A PROPÓSITO DE UN CASO,"Noa Díaz Novo, MD",05/12/2022,28/12/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,16021
NEFRO-D-22-00430,Original breve,PAPEL DE LAS CITOCINAS EN LA LESIÓN RENAL AGUDA EN LOS PACIENTES CON COVID-19&#8221;,"Denia Castrejon, Licenciatura",04/12/2022,09/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16029
NEFRO-D-22-00429R1,Cartas al editor,Toxicodermia relacionada con el uso de tolvaptan,Alba Rivas Oural,04/12/2022,10/01/2023,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15987
NEFRO-D-22-00428,Original,"Comparison of anxiety, depression and quality of life in patients with ADPKD and diabetic nephropathy",Tuba Elif Ozler,03/12/2022,09/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15965
NEFRO-D-22-00426,Original,TROPONINA I Y DÍMERO D COMO PREDICTORES DE LESIÓN RENAL AGUDA EN COVID-19: UN ESTUDIO OBSERVACIONAL - TROPONIN I AND D-DIMER AS PREDICTORS OF ACUTE KIDNEY INJURY IN COVID-19: AN OBSERVATIONAL STUDY,BARBARA GOMES CAVALCANTI,30/11/2022,09/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15906
NEFRO-D-22-00424,Original,Propiedades psicométricas de la escala Kidney Disease Quality of Life Short Form 36 (KDQOL-36) para la evaluación de la calidad de vida en pacientes colombianos con enfermedad renal crónica,Martha Carolina Valderrama Rios,29/11/2022,09/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16007
NEFRO-D-22-00423,Original,REVISION Y ANALISIS DE LOS RESULTADOS DE LOS PROGRAMAS DE TRASPLANTE RENAL EN MEXICO. ¿SE PUEDE COMPARAR ESTADISTICAMENTE LA SUPERVIVENCIA CON LA INFORMACION DISPONIBLE EN LAS PUBLICACIONES? -  - REVIEW AND ANALYSIS OF THE RESULTS OF KIDNEY TRANSPLANTATION PROGRAMS IN MEXICO. CAN SURVIVAL BE STATISTICALLY COMPARED WITH THE INFORMATION AVAILABLE IN THE PUBLICATIONS?,"Marco Antonio Ayala Garcia, Ph.D.",28/11/2022,30/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16002
NEFRO-D-22-00422,Imágenes,THE ADDED VALUE OF [18F]FLUOROCHOLINE PET/CT IN THE ASSESSMENT OF -  SECONDARY OR TERTIARY HYPERPARATHYROIDISM,Safae Abouzian Senhaji,28/11/2022,09/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16000
NEFRO-D-22-00418,Original,COMPARATIVE CLINICAL CHARACTERISTICS OF PATIENTS WITH GOUT AND RENAL DYSFUNCTION,"Rotaru Larisa, Doctor of medical sciences",27/11/2022,30/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15894
NEFRO-D-22-00420,Original,Sex-specific reference value of urinary albumin-creatinine ratio and protein-creatinine ratio in Chinese population,Xin Du,26/11/2022,09/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16003
NEFRO-D-22-00417,Original,Is online hemodiafiltration superior to conventional hemodialysis in removal of indoxyl sulfate in chronic hemodialysis patients?,"Mohamed Sary Gharib, MD",23/11/2022,09/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15998
NEFRO-D-22-00416,Original,Perfilado de marcadores de estrés oxidativo y complicaciones cardiovasculares en pacientes con enfermedad renal crónica suplementados con vitamina E - Profiling oxidative stress markers and - cardiovascular complications in chronic kidney disease patients supplemented with vitamin E,Mounir Adnane,23/11/2022,12/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15995
NEFRO-D-22-00415,Casos Clinicos,Una Causa Rara de Hemorragia Digestiva en una Receptora de Trasplante Duplo de Páncreas-riñón,Sofia Ventura,22/11/2022,10/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15996
NEFRO-D-22-00414,Cartas al editor,LACTANTE DE 1 MES CON ACIDOSIS TUBULAR RENAL,"Mercedes Ubetagoyena, DOCTOR",22/11/2022,02/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15994
NEFRO-D-22-00413R1,Cartas al editor,Uno de los pocos casos reportados de glomerulonefritis fibrilar en nefropatía lúpica. -  - ( One of the few reported cases of - fibrillar glomerulonephritis in lupus nephropathy).,"Juan A. Martín Navarro, M. D.",20/11/2022,28/12/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15993
NEFRO-D-22-00412,Casos Clinicos,TERAPIA DE REEMPLAZO RENAL CONTINUA EN NEUROTOXICIDAD POR CEFEPIME: REPORTE DE CASO,"Daniel Ricardo Santiago Ausecha, MD",18/11/2022,10/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15990
NEFRO-D-22-00411,Original,Impacto del factor de crecimiento transformante-Beta1 en relación con la tasa de filtración glomerular en ancianos egipcios sanos,ahmed ali,18/11/2022,10/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15989
NEFRO-D-22-00410,Revisión,Efficacy of physical exercise on sleep quality in patients with chronic kidney disease: a systematic review and meta-analysis,"Adrián García-Fresneda, Ph.D",17/11/2022,10/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15984
NEFRO-D-22-00409,Original,Cardiovascular events in hemodialysis - The prognostic value of the CHA2DS2-VASc score in diabetic and non-diabetic patients,Theodoros Tourountzis,15/11/2022,17/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15985
NEFRO-D-22-00408,Original,Inspiratory-expiratory muscle training at fixed rhythm improved muscle strength in dialysis patients: a pilot randomised trial,"Nicola Lamberti, Ph.D.",15/11/2022,17/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15981
NEFRO-D-22-00407,Revisión,Lessons from SENCOVAC: a prospective study evaluating the response to SARS-CoV-2 vaccination in the CKD spectrum,"Borja Quiroga, MD PhD",15/11/2022,10/12/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15982
NEFRO-D-22-00405,Casos Clinicos,Correlación de la inactivación del cromosoma X con la presentación clínica de la enfermedad de Fabry a propósito de un caso.,Pablo Rodríguez Doyágüez,13/11/2022,09/12/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15947
NEFRO-D-22-00404,Original,Is central venous catheter in haemodialysis still the main factor of mortality after hospitalization?,"Miguel Angel Cuevas-Budhart, MSc",10/11/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15978
NEFRO-D-22-00403,Cartas al editor,Desafíos diagnósticos: un caso de gammapatía monoclonal de importancia renal y microangiopatía trombótica,Sofia Ventura,09/11/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15977
NEFRO-D-22-00402,Original,Genetic polymorphisms (rs869109213 &amp; rs2070744) in eNOS gene and susceptibility to diabetic nephropathy in type II diabetes mellitus patients of Pakistan.,Hooria Younas,09/11/2022,15/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15971
NEFRO-D-22-00401,Original,Incidence of Contrast-Associated Acute Kidney Injury: a prospective cohort,"Andre Ribeiro, M.D.",09/11/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15973
NEFRO-D-22-00399,Revisión,PROGRAMA DE EJERCICIO FÍSICO INTRADIALISIS EN PACIENTES ADULTOS CON INSUFICIENCIA RENAL CRÓNICA EN HEMODIÁLISIS. REVISION SISTEMATICA,"Ingrid Elizabeth Rivera, Mg",08/11/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15963
NEFRO-D-22-00398,Cartas al editor,Hiperoxaluria Primaria y Trasplante Hepatorrenal. - Primary Hyperoxaluria and Liver-Renal Transplantation,"Pilar Galindo Sacristán, Ph.D.",07/11/2022,21/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15968
NEFRO-D-22-00397R1,Editorial,Hacia la estandarización de la formación de PoCUS en Nefrología: el momento es AHORA - Towards standardization of POCUS training in Nephrology: the time is NOW,"Gregorio Romero-González, M.D.",07/11/2022,10/01/2023,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15972
NEFRO-D-22-00396,Revisión,Acute Kidney Injury and morbi-mortality associated with triple whammy combination: a systematic review and meta-analysis,"Luis Carlos Saiz, Ph.D.",05/11/2022,30/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15970
NEFRO-D-22-00395,Cartas al editor,Título principal: Trasplante renal y síndrome de Klippel-Trenaunay-Weber: una asociación insólita - Título secundario: - Kidney transplant and Klippel-Trenaunay-Weber syndrome: an unusual association,Maria Molina,04/11/2022,11/11/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15967
NEFRO-D-22-00394R1,Cartas al editor,IMPACTO PERCIBIDO DE LA DONACIÓN EN VIVO EN UNA UNIDAD DE HEMODIÁLISIS DE UN CENTRO NO TRASPLANTADOR,Miguel Ángel González Martínez,02/11/2022,09/12/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15960
NEFRO-D-22-00393,Casos Clinicos,HIPERTENSIÓN ARTERIAL SECUNDARIA A DISPLASIA FIBROMUSCULAR TIPO II - SECONDARY HYPERTENSION DUE TO FIBROMUSCULAR DYSPLASIA,"Cristina Sango, M.D",31/10/2022,09/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15966
NEFRO-D-22-00392,Cartas al editor,"NEFRITIS DEL SHUNT, ¿QUÉ ERA ESO?","Caterine Vanesa Martínez Rosero, M.D.",26/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15958
NEFRO-D-22-00391,Casos Clinicos,Eculizumab Discontinuation in a Patient with Atypical Hemolytic Uremic Syndrome after ChAdOx1 nCoV-19 Vaccination,Marisa Roldão,26/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15962
NEFRO-D-22-00389,Original breve,Withdrawal of angiotensin-converting enzyme inhibitors in children with rapidly declining kidney function in advanced chronic kidney disease,Tomas Seeman,25/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15955
NEFRO-D-22-00388,Casos Clinicos,Lupus sistémico oculto a la sombra de un diagnóstico de glomerulopatía membranosa primaria -  - Systemic Lupus concealed in the shadow of a primary membranous glomerulopathy diagnosis,"Pedro Almiro Castro, M.D.",25/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15938
NEFRO-D-22-00387,Casos Clinicos,COMBINED EXTRACORPOREAL CO2 REMOVAL AND RENAL REPLACEMENT THERAPY IN A PREGNANT PATIENT WITH COVID-19: A CASE REPORT,Pasquale Esposito,23/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15959
NEFRO-D-22-00386,Cartas al editor,Tratamiento con inhibidores de PCSK9 en pacientes con enfermedad renal crónica de muy alto riesgo cardiovascular - Treatment with PCSK9 inhibitors in patients with chronic kidney disease at very high cardiovascular risk,José Manuel Amaro,21/10/2022,11/11/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15957
NEFRO-D-22-00383,Cartas al editor,Nefritis - lúpica: serie de casos de pacientes tratados con micofenolato mofetilo y rituximab,"Frederico Rajão Martins, M.D.",20/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15956
NEFRO-D-22-00382,Original,Arterial Stiffness and Cardiac Functions in Children with Idiopathic Nephrotic Syndrome,Emre Leventoğlu,19/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15951
NEFRO-D-22-00381,Cartas al editor,PERCUTANEOUS VERSUS SURGICAL PLACEMENT OF PERITONEAL DIALYSIS CATHETERS,Marisa Roldão,18/10/2022,09/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15950
NEFRO-D-22-00380,Casos Clinicos,TITTLE ATYPICAL HEMOLYTIC UREMIC SYNDROME IN A PATIENT WITH IGA NEPHROPATHY ASSOCIATED WITH LIVER CIRRHOSIS.,"Álvaro Pérez Fernández, FEA Nefrología",18/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15949
NEFRO-D-22-00378R1,Artículo especial,Efectos renales adversos por Inhibidores del Check Point (ICP) en pacientes con cáncer. Recomendaciones del grupo Onconefrología de la Sociedad Español de Nefrología (S.E.N.) - Adverse renal effects of Check-Point Inhibitors (ICI) in cancer patients. Recommendations of the Onco-nephrology Working Group of the Spanish Society of Nephrology,"Fabiola Alonso García, M.D.",13/10/2022,10/12/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15940
NEFRO-D-22-00376,Original,Lesión renal aguda posrenal en pacientes con cáncer: presentación clínica y resultados renales y del paciente - Post-Renal Acute Kidney Injury in Cancer Patients: Clinical presentation and Kidney and Patient Outcomes,"Círia Sousa, M.D",13/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15939
NEFRO-D-22-00375,Revisión,Documento de Consenso del Grupo de Estudio de Enfermedades Glomerulares de la Sociedad Española de Nefrología (GLOSEN) para el Diagnóstico y Tratamiento de la Nefritis Lúpica,"Jorge Enrique Rojas-Rivera, M.D., M.Sc.",11/10/2022,18/10/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15937
NEFRO-D-22-00369,Revisiones cortas,Influencing factors of right ventrichlar dysfunction in maintenance hemodialysis patients,Guangyi Li,10/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15934
NEFRO-D-22-00374R1,Revisión,Actualización de las recomendaciones en el manejo de la pandemia por coronavirus SARS-CoV-2 (COVID-19) en pacientes con trasplante renal,VERONICA López Jiménez,10/10/2022,10/11/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15935
NEFRO-D-22-00372R1,Original,Calcificación vascular en pacientes en diálisis peritoneal y su asociación con moléculas derivadas de hueso y - histomorfometría ósea,"Luciano Pereira, MD",09/10/2022,10/01/2023,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15931
NEFRO-D-22-00371,Original,Effect of levothyroxine replacement on proteinuria and renal function in patients with overt hypothyroidism,Hayri Bostan,08/10/2022,11/11/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15933
NEFRO-D-22-00368,Original,Clinical outcomes in living donor kidney transplantation: A single center experience in Latin America,"Andrea Elena Garcia López, MD, MSc",06/10/2022,11/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15929
NEFRO-D-22-00364,Original,Effects of low-phosphorus cooking plus minimum dose of CaCO3 on blood CKD-MBD and inflammatory indexes in maintenance hemodialysis patients,Jiun-Rong Chen,05/10/2022,10/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15839
NEFRO-D-22-00365,Revisión,Puntajes predictivos de riesgo para enfermedad renal crónica: Revisión Sistemática - Risk prediction score for -  Chronic Kidney Disease in adults: Systematic Review,"Edgar Denova-Gutiérrez, PhD",05/10/2022,10/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15926
