data_identity,numero_manuscrito,referencia,revision,titulo,tipo_articulo,autor,email,fecha_inicial,estado_actual,fecha_estado,fecha_vencimiento,editor,decision_editor_def,est_ev_completo,est_ev_aceptado,est_ev_invitado,est_ev_rechazado,est_ev_tarde,año,ref_maquetado,estado,responsable,notas,entrada,revision_1,comentarios_ultimo_revisor,decision_editor_r1,entrada_r1,revision_r1,coment_compl_r1,dec_editor_r1,entrada_r2,revision_r2,coment_compl_r2,dec_editor_r2,entrada_r3,revision_r3,coment_completos_r3,dec_editor_r3,entrada_r4,revision_r4,coment_completos_r4,rechazo,aceptacion,maquetacion,in_press,publicado,publicado_detalles,pmid,etapa_1,etapa_2,etapa_3,etapa_4,etapa_5,etapa_6,maquet_in_press,activo,ultima_accion,dias_pasados,mayor_10_dias,fecha_alta,fecha_baja
,NEFRO-D-21-00070,NEFRO-D-21-00070,,Efectos de la suplementación con vitamina C sobre el estrés oxidativo y las actividades de paraoxonasa / arilesterasa sérica en pacientes en hemodiálisis a largo plazo,,,,,,,,,,,,,,,2021,NEFRO_1009,7. Publicado,Elsevier,,2021-02-13,2021-03-14,2021-06-14,2021-07-13,2021-08-03,2021-08-10,2021-08-16,2021-09-14,2021-09-30,2021-10-21,2021-11-08,2021-11-10,,,,,,,,,2021-11-10,2021-12-22,,,,,29,92.0,29.0,21.0,7.0,42.0,,False,2021-12-22,312,False,,
,NEFRO-D-21-00429,NEFRO-D-21-00429,,Validation of the Kidney Failure Risk Equation in a Portuguese cohort	,,,,,,,,,,,,,,,2021,NEFRO_1048,7. Publicado,Elsevier,,2021-09-16,2021-10-06,2021-11-05,2021-11-27,2021-12-14,2021-12-17,2022-01-13,2022-01-15,2022-01-16,2022-01-16,2022-01-25,2022-02-24,2022-02-27,,,2022-03-02,,,,,2022-03-02,,2022-04-22,,,,20,30.0,22.0,17.0,3.0,,,False,2022-04-22,218,False,,
,NEFRO-D-21-00419,NEFRO-D-21-00419,,Bone mineral density and growth changes in patients with distal renal tubular acidosis after two-years treatment with a new alkalizing drug (ADV7103)	,,,,,,,,,,,,,,,2021,NEFRO_1045,7. Publicado,Elsevier,,2021-09-09,2021-09-13,2021-09-29,2021-11-08,2021-12-24,2021-12-27,2022-01-06,2022-01-18,2022-02-21,2022-02-23,2022-02-24,2022-02-27,,,,,,,,,2022-02-27,2022-04-22,2022-03-21,,,,4,16.0,40.0,46.0,3.0,54.0,-32,False,2022-04-22,225,False,,
,NEFRO-D-22-00040,NEFRO-D-22-00040,,Identification of Key Genes and Biological Regulatory Mechanisms in Diabetic nephropathy: Meta-Analysis of Gene Expression Datasets        ,,,,,,,,,,,,,,,2022,NEFRO_1077,7. Publicado,Elsevier,"Las figuras 1, 3 y 4 tienen textos imposibles de leer de lo pequeños que son.
Habría que ampliarlo.",2022-01-31,2022-02-07,2022-02-08,2022-02-24,2022-03-09,2022-03-10,2022-03-16,2022-04-24,2022-04-26,2022-05-09,2022-05-18,,2022-06-19,,,2022-06-27,,,,,2022-06-27,2022-07-22,2022-07-18,,,,7,1.0,16.0,13.0,1.0,25.0,-4,False,2022-07-22,172,False,,
,NEFRO-D-21-00104,NEFRO-D-21-00104,,GLOMERULOPATÍA ASOCIADA AL GEN LMX1B LMX1B -ASSOCIATED GLOMERULOPATH,,,,,,,,,,,,,,,2021,,4.2 Grandes cambios,Autores,,2021-03-02,2021-03-06,2021-04-17,2021-05-14,2021-12-13,2021-12-19,2022-02-06,2022-02-18,2022-06-01,2022-06-02,2022-06-05,2022-08-25,2022-09-27,2022-10-06,,2022-11-14,,,,,,,,,,,4,42.0,27.0,213.0,6.0,,,True,2022-11-14,73,True,,
,NEFRO-D-21-00418,NEFRO-D-21-00418,,Asociación del polimorfismo rs5186 del gen AGTR1 con disminución de la eTFG en pacientes con diabetes tipo 2 de la Ciudad de México. Association of the rs5186 polymorphism of the AGTR1 gene with decreased eGFR in patients with type 2 diabetes from Mexico City.	,,,,,,,,,,,,,,,2021,NEFRO_1081,7. Publicado,Elsevier,"Habría que ampliar la figura 1 porque los textos son muy pequeños.
En las palabras clave en inglés hay epasar el texto de mayúsuclas a minúsuculas.
Y en las palabras clave en español falta la N en efropatía diabética",2021-09-08,2021-09-13,2021-10-11,2021-11-27,2022-03-27,2022-04-04,2022-04-26,2022-05-11,2022-06-12,2022-06-18,2022-06-21,2022-06-29,,,,,,,,,2022-06-29,,2022-07-28,,,,5,28.0,47.0,120.0,8.0,,,False,2022-07-28,323,False,,
,NEFRO-D-22-00086,NEFRO-D-22-00086,,HIPERFILTRACIÓN GLOMERULAR EN EL PACIENTE TRAUMÁTICO GRAVE   GLOMERULAR HYPERFILTRATIOn IN PATIENTS WITH SEVERE TRAUMA        ,,,,,,,,,,,,,,,2022,NEFRO_1092,6. Revisión Maquetación,0,,2022-03-07,2022-04-05,2022-04-28,2022-05-11,2022-05-26,2022-05-29,2022-06-12,2022-06-29,2022-07-21,2022-07-23,2022-07-23,2022-08-01,,,,,,,,,2022-08-01,,,,,,29,23.0,13.0,15.0,3.0,,,True,2022-08-01,178,True,,
,NEFRO-D-21-00502,NEFRO-D-21-00502,,HEMODIALISIS (HD) EN UNIDADES SATELITES (US) en la provincia de OURENSE . ANALISIS DE SUPERVIVENCIA 1986-2018. HEMODIALYSIS (HD) IN SATELLITE UNITS (US) in the province of OURENSE . SURVIVAL ANALYSIS 1986-2018.	,,,,,,,,,,,,,,,2021,,Rechazado,Mariano/Roberto,"NOS ESCRIBE EL AUTOR PARA PREGUNTAR POR LA SITUACIÓN DEL ARTÍCULO.
Tenemos un comentario completo, pero no hay más revisores. ¿MARIANO toma decisión o invitamos a uno más?",2021-11-04,2021-12-19,2022-01-12,2022-01-18,2022-05-29,2022-05-30,2022-07-20,2022-07-23,2022-08-17,2022-08-24,2022-09-01,2022-10-06,,,,,,,,2022-10-06,,,,,,,45,24.0,6.0,131.0,1.0,,,False,2022-10-06,336,False,,
,NEFRO-D-22-00159,NEFRO-D-22-00159,,Hipouricemia con hipercalciuria. Estudio longitudinal y revisión del tema	,,,,,,,,,,,,,,,2022,,4.2 Grandes cambios,Autores,Se envía mail a la autora para que apruebe su pdf.,2022-04-24,2022-05-09,2022-06-10,2022-07-16,,,,2022-08-08,2022-09-29,2022-10-05,2022-11-04,2022-11-11,,,,,,,,,,,,,,,15,32.0,36.0,,,,,True,2022-11-11,76,True,,
,NEFRO-D-23-00038,NEFRO-D-23-00038,,Renal diseases that course with hypomagnesemia. Comments on a new hereditary hypomagnesemic tubulopathy,,,,,,,,,,,,,,,2023,,2. En revisión,Revisores,,2023-01-26,2023-01-26,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,,,,,,True,2023-01-26,0,False,,
,NEFRO-D-23-00037,NEFRO-D-23-00037,,Clinical outcomes of peritoneal dialysis with low doses of dialysate in patients with acute kidney injury,,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-25,1,False,,
,NEFRO-D-23-00036,NEFRO-D-23-00036,,Renal manifestations in adults with mitochondrial disease from the mtDNA m.3243A>G pathogenic variant,,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-25,1,False,,
,NEFRO-D-23-00035,NEFRO-D-23-00035,,Dermatosis perforante adquirida e Índice de Calidad de Vida en Dermatología en pacientes en hemodiálisis. Acquired perforating dermatosis and Quality of Life Index in Dermatology in patients receiving hemodialysis.,,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-25,1,False,,
,NEFRO-D-23-00034,NEFRO-D-23-00034,,A novel homozygous SLC12A3 mutation causing Gitelman syndrome with co-existent autoimmune thyroiditis: case report and review of the literature,,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-25,1,False,,
,NEFRO-D-23-00033,NEFRO-D-23-00033,,"FIBRILACIÓN AURICULAR NO VALVULAR EN PACIENTES EN DIÁLISIS PERITONEAL: PREVALENCIA, TRATAMIENTO Y PROFESIONALES IMPLICADOS.",,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-24,2,False,,
,NEFRO-D-23-00032,NEFRO-D-23-00032,,Chronic kidney disease and serum uric acid level in hypertensive and/or diabetic patients,,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-24,2,False,,
,NEFRO-D-23-00029,NEFRO-D-23-00029,,Nefropatía Membranosa Secundaria. Patrón Full house en coinfección de Sifilis y Parvovirus B19 Secondary Membranous Nephropathy. “Full-House” pattern in a Syphilis and Parvovirus B19 coinfection.,,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-23,3,False,,
,NEFRO-D-23-00027,NEFRO-D-23-00027,,NECESIDADES DE INFORMACIÓN SOBRE CUIDADOS PALIATIVOS PERCIBIDAS POR LOS PACIENTES EN HEMODIÁLISIS EN LAS UNIDADES DE LA FUNDACIÓN RENAL ÍÑIGO ÁLVAREZ DE TOLEDO,,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-19,7,False,,
,NEFRO-D-23-00026,NEFRO-D-23-00026,,"POLIQUISTOSIS RENAL AUTOSÓMICA DOMINANTE, UN FACTOR DE RIESGO CARDIOVASCULAR A TENER EN CUENTA",,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-19,7,False,,
,NEFRO-D-23-00025,NEFRO-D-23-00025,,Estenosis congénita del uréter medio: a propósito de un caso,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-18,,,2023-01-25,,,,,,,,,,,,,,,,2023-01-25,,,,,,,,,,,,,,False,2023-01-25,7,False,,
,NEFRO-D-23-00024,NEFRO-D-23-00024,,FUERZA PRENSIL Y BIOMARCADORES EN PACIENTES RENALES EN HEMODIÁLISIS     HANDGRIP STRENGTHANDBIOMARKERSINCHRONIC KIDNEY DISEASE ON HEMODIALYSIS,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-18,,,2023-01-25,,,,,,,,,,,,,,,,2023-01-25,,,,,,,,,,,,,,False,2023-01-25,7,False,,
,NEFRO-D-23-00023,NEFRO-D-23-00023,,Characterizing physiologically stimulated renin and aldosterone phenotypes in an Afrodescendant population with arterial hypertension.,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-18,,,2023-01-25,,,,,,,,,,,,,,,,2023-01-25,,,,,,,,,,,,,,False,2023-01-25,7,False,,
,NEFRO-D-23-00022,NEFRO-D-23-00022,,Manejo quirúrgico de aneurisma micótico con preservación de injerto renal. Surgical Management of mycotic aneurysm with preservation of renal graft.,,,,,,,,,,,,,,,2023,,2. En revisión,Revisores,,2023-01-18,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,1900-01-07 00:00:00,,,,,,,True,2023-01-25,1,False,,
,NEFRO-D-23-00021,NEFRO-D-23-00021,,Dialysis adequacy: Use Urea Reduction Ratio or Online Clearance Monitor for frequent Assessment?,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-17,,,2023-01-25,,,,,,,,,,,,,,,,2023-01-25,,,,,,,,,,,,,,False,2023-01-25,8,False,,
,NEFRO-D-23-00020,NEFRO-D-23-00020,,Características de los donantes vivos posibles y efectivos para trasplante renal: Un estudio de corte transversal,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-17,,,2023-01-25,,,,,,,,,,,,,,,,2023-01-25,,,,,,,,,,,,,,False,2023-01-25,8,False,,
,NEFRO-D-23-00019,NEFRO-D-23-00019,,Rescatando el acceso valioso. Recuperando sitios de inserción preexistentes con catéteres tunelizados,,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-13,13,True,,
,NEFRO-D-23-00018,NEFRO-D-23-00018,,Obinutuzumab en el tratamiento de Glomerulonefritis Membranosa PLA2R positiva resistente a tratamiento.,,,,,,,,,,,,,,,2023,,2. En revisión,Revisores,,2023-01-13,2023-01-26,,,,,,,,,,,,,,,,,,,,,,,,,1900-01-13 00:00:00,,,,,,,True,2023-01-26,0,False,,
,NEFRO-D-23-00017,NEFRO-D-23-00017,,Hemoperitoneum Related With Peritoneal Dialysis in A Female Adolescent: It Is Not As Frightening As It Seems,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-13,,,2023-01-26,,,,,,,,,,,,,,,,2023-01-26,,,,,,,,,,,,,,False,2023-01-26,13,False,,
,NEFRO-D-23-00016,NEFRO-D-23-00016,,Influencia de la vacunación frente a SARS-CoV-2 en la enfermedad glomerular. Dos casos de recidiva de Nefropatía membranosa y Nefropatía IgA tras la administración de vacuna tipo mRNA.,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-13,,,2023-01-26,,,,,,,,,,,,,,,,2023-01-26,,,,,,,,,,,,,,False,2023-01-26,13,False,,
,NEFRO-D-23-00015,NEFRO-D-23-00015,,COVID-19 EN TRASPLANTADOS RENALES: ANALISIS DEL REGISTRO MULTICENTRICO DURANTE LA PRIMERA OLA DE LA PANDEMIA EN CHILE,,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-13,13,True,,
,NEFRO-D-23-00011,NEFRO-D-23-00011,,"RELATIONSHIP BETWEEN U-MMP7 AND PROGNOSIS, COMORBIDITY AND MORTALITY IN AKI",,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-11,,,2023-01-12,,,,,,,,,,,,,,,,2023-01-12,,,,,,,,,,,,,,False,2023-01-12,1,False,,
,NEFRO-D-23-00010,NEFRO-D-23-00010,,The Association of Vitamin D Supplementation in case of need on Chronic Kidney Disease Progression,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-10,,,2023-01-14,,,,,,,,,,,,,,,,2023-01-14,,,,,,,,,,,,,,False,2023-01-14,4,False,,
,NEFRO-D-23-00009,NEFRO-D-23-00009,,"Actualización en el tratamiento con fluidos de reanimación: suero salino, soluciones balanceadas y Thomas Bayes. Update in the treatment with resuscitation fluids: saline serum, balanced solutions and Thomas Bayes.",,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-10,,,2023-01-14,,,,,,,,,,,,,,,,2023-01-14,,,,,,,,,,,,,,False,2023-01-14,4,False,,
,NEFRO-D-23-00008,NEFRO-D-23-00008,,Correlation of Luminex-based single-antigen-based results with CDC-XM and FC-XM results,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-09,,,2023-01-14,,,,,,,,,,,,,,,,2023-01-14,,,,,,,,,,,,,,False,2023-01-14,5,False,,
,NEFRO-D-23-00007,NEFRO-D-23-00007,,Monitoreo Ambulatorio de presión arterial en pacientes pediátricos con Anemia de Células Falciformes en una ciudad del Caribe Colombiano.,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-09,,,2023-01-10,,,,,,,,,,,,,,,,2023-01-10,,,,,,,,,,,,,,False,2023-01-10,1,False,,
,NEFRO-D-23-00007,NEFRO-D-23-00007,,Monitoreo Ambulatorio de presión arterial en pacientes pediátricos con Anemia de Células Falciformes en una ciudad del Caribe Colombiano.,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-09,,,2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2023-01-10,1,False,,
,NEFRO-D-23-00006,NEFRO-D-23-00006,,Therapeutic adherence in kidney transplanted adolescents,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-05,,,2023-01-14,,,,,,,,,,,,,,,,2023-01-14,,,,,,,,,,,,,,False,2023-01-14,9,False,,
,NEFRO-D-23-00005,NEFRO-D-23-00005,,ANEMIA RENAL: TRATAMIENTOS ACTUALES Y MOLÉCULAS EMERGENTES RENAL ANEMIA: CURRENT TREATMENTS AND EMERGING MOLECULES,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-05,,,2023-01-14,,,,,,,,,,,,,,,,2023-01-14,,,,,,,,,,,,,,False,2023-01-14,9,False,,
,NEFRO-D-23-00004,NEFRO-D-23-00004,,SÍNDROME DE CASCANUECES POSTERIOR: REPORTE DE UN CASO EN PEDIATRÍA Y REVISIÓN DE LA LITERATURA,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-04,,,2023-01-14,,,,,,,,,,,,,,,,2023-01-14,,,,,,,,,,,,,,False,2023-01-14,10,False,,
,NEFRO-D-23-00003,NEFRO-D-23-00003,,FÍSTULA PLEUROPERITONEAL EN PACIENTE CON DIÁLISIS PERITONEAL: reporte de un caso. PLEUROPERITONEAL FISTULA IN A PATIENT WITH PERITONEAL DIALYSIS: A case report.,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-02,,,2023-01-14,,,,,,,,,,,,,,,,2023-01-14,,,,,,,,,,,,,,False,2023-01-14,12,False,,
,NEFRO-D-23-00003,NEFRO-D-23-00003,,FÍSTULA PLEUROPERITONEAL EN PACIENTE CON DIÁLISIS PERITONEAL: reporte de un caso. PLEUROPERITONEAL FISTULA IN A PATIENT WITH PERITONEAL DIALYSIS: A case report.,,,,,,,,,,,,,,,2023,,Rechazado,Mariano/Roberto,,2023-01-03,,,2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2023-01-10,7,False,,
,NEFRO-D-23-00002,NEFRO-D-23-00002,,"Sobrevida y su relación con el tipo de transferencia de solutos de membrana peritoneal, en pacientes con enfermedad renal crónica incidentes en terapia de diálisis peritoneal en RTS Colombia entre los años 2007-2017",,,,,,,,,,,,,,,2023,,1. Nuevo esperando revisor o rechazar,Mariano/Roberto,,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-02,24,True,,
,NEFRO-D-23-00001,NEFRO-D-23-00001,,Uso compasivo de Tolvaptan en megacolon adquirido secundario a poliquistosis renal autosómica dominante (PQRAD),,,,,,,,,,,,,,,2023,NEFRO_1135,6. Revisión Maquetación,0,,2023-01-02,,,2023-01-10,2023-01-12,,,2023-01-12,,,,,,,,,,,,,2023-01-12,2023-01-25,,,,,,,,2.0,,13.0,,True,2023-01-25,1,False,,
,NEFRO-D-22-00459,NEFRO-D-22-00459,,Infección por citomegalovirus resistente en un paciente trasplantado renal. Resistant cytomegalovirus infection in a kidney transplant patient.,,,,,,,,,,,,,,,2022,,4.2 Grandes cambios,Autores,,2022-12-31,,,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2023-01-01,25,True,,
